,0,1
0,-82.037015,33.553762
1,-82.036576,33.55325
2,-82.036242,33.552859
3,-82.033555,33.54822
4,-82.031563,33.545858
5,-82.03153,33.545819
6,-82.031024,33.544363
7,-82.028238,33.544933
8,-82.026858,33.541066
9,-82.024083,33.538572
10,-82.021525,33.535725
11,-82.019985,33.534903
12,-82.018837,33.534639
13,-82.017627,33.534361
14,-82.01583,33.533745
15,-82.012542,33.532151
16,-82.012402,33.531643
17,-82.012065,33.53139
18,-82.012059,33.531385
19,-82.011249,33.530776
20,-82.009865,33.529736
21,-82.009237,33.527251
22,-82.008964,33.526708
23,-82.008945,33.52667
24,-82.00855,33.525486
25,-82.008545,33.525253
26,-82.008526,33.524376
27,-82.007726,33.523485
28,-82.007548,33.523288
29,-82.00712,33.52281
30,-82.006496,33.522734
31,-82.005468,33.522608
32,-82.003606,33.521873
33,-82.002644,33.521248
34,-82.001895,33.520414
35,-82.001494,33.519966
36,-82.001011,33.518387
37,-82.00102,33.518251
38,-82.000422,33.515961
39,-81.999838,33.514834
40,-81.998177,33.511956
41,-81.996272,33.508048
42,-81.995249,33.506909
43,-81.993304,33.505783
44,-81.991688,33.503684
45,-81.990604,33.50086
46,-81.990414,33.50014
47,-81.990412,33.500051
48,-81.990372,33.4982
49,-81.990508,33.498007
50,-81.990784,33.497617
51,-81.990581,33.497437
52,-81.973979,33.482723
53,-81.973852,33.482611
54,-81.973647,33.482558
55,-81.973641,33.482557
56,-81.971396,33.481977
57,-81.969163,33.481401
58,-81.965396,33.480178
59,-81.959152,33.477597
60,-81.959146,33.477594
61,-81.958329,33.477257
62,-81.957975,33.47711
63,-81.957953,33.477116
64,-81.957653,33.477197
65,-81.957346,33.476855
66,-81.95727,33.47677
67,-81.955882,33.476018
68,-81.955285,33.475695
69,-81.95528,33.475692
70,-81.948189,33.47185
71,-81.942841,33.470051
72,-81.93558,33.468649
73,-81.932437,33.467375
74,-81.928918,33.464786
75,-81.926748,33.462364
76,-81.924669,33.459446
77,-81.923505,33.457401
78,-81.922829,33.45605
79,-81.921821,33.453137
80,-81.920214,33.45015
81,-81.918308,33.447126
82,-81.91457,33.442355
83,-81.913452,33.440062
84,-81.91339,33.439673
85,-81.913389,33.439666
86,-81.913309,33.439157
87,-81.913769,33.436607
88,-81.913801,33.43643
89,-81.913931,33.436186
90,-81.914497,33.435121
91,-81.915501,33.433984
92,-81.915503,33.433982
93,-81.916188,33.433206
94,-81.916616,33.432721
95,-81.91765,33.432088
96,-81.920467,33.430915
97,-81.923322,33.43038
98,-81.924072,33.430473
99,-81.927737,33.430092
100,-81.929928,33.429864
101,-81.931243,33.428949
102,-81.932044,33.427907
103,-81.932379,33.426047
104,-81.932372,33.426023
105,-81.932134,33.425191
106,-81.932003,33.424733
107,-81.930345,33.422881
108,-81.926206,33.420342
109,-81.924893,33.419307
110,-81.923645,33.418699
111,-81.922445,33.418155
112,-81.921068,33.417419
113,-81.916364,33.416123
114,-81.91358,33.415995
115,-81.912028,33.415595
116,-81.910764,33.415035
117,-81.909884,33.414027
118,-81.909628,33.412603
119,-81.909788,33.411387
120,-81.91038,33.410411
121,-81.911436,33.409499
122,-81.912572,33.408811
123,-81.914284,33.408411
124,-81.916476,33.408235
125,-81.918364,33.408715
126,-81.919837,33.409643
127,-81.921421,33.410475
128,-81.923261,33.412107
129,-81.924173,33.412555
130,-81.92654,33.409989
131,-81.928075,33.408277
132,-81.930164,33.406887
133,-81.932696,33.406439
134,-81.936742,33.406938
135,-81.939802,33.408356
136,-81.940843,33.408838
137,-81.941116,33.408872
138,-81.942625,33.409058
139,-81.942642,33.40906
140,-81.942654,33.409057
141,-81.943286,33.408886
142,-81.945003,33.40775
143,-81.945547,33.40739
144,-81.945799,33.40514
145,-81.944418,33.403448
146,-81.943016,33.40266
147,-81.938404,33.400068
148,-81.93798,33.39983
149,-81.936906,33.399226
150,-81.935204,33.397622
151,-81.934633,33.396538
152,-81.932483,33.38892
153,-81.932371,33.38819
154,-81.931849,33.384786
155,-81.9319,33.383651
156,-81.931578,33.382403
157,-81.931388,33.38167
158,-81.931088,33.380509
159,-81.930939,33.380312
160,-81.928861,33.377572
161,-81.928568,33.377409
162,-81.926215,33.376104
163,-81.925173,33.375088
164,-81.92481,33.373819
165,-81.924798,33.373774
166,-81.924804,33.37374
167,-81.925049,33.372378
168,-81.925066,33.372286
169,-81.925187,33.37213
170,-81.926354,33.370626
171,-81.926861,33.369972
172,-81.93097,33.367564
173,-81.932768,33.367786
174,-81.933472,33.368127
175,-81.934748,33.369118
176,-81.935218,33.369483
